Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Northern Sydney,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,832","28,660","8,303","2,923",182,913,"2,473","7,420","2,351","3,211"
Northern Sydney,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,515","3,526","4,030","2,208",206,637,"1,702","2,464","2,354","2,693"
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,030","35,386","32,133","19,335","2,051","5,494","10,505","14,304","13,327","14,239"
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,,,,5,3,
Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,290,229,109,44,60,100,293,392,370
Northern Sydney,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,358,228,139,28,42,85,111,87,83
Northern Sydney,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,41,242,177,4,66,183,160,187,308
Northern Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,593","39,369","30,112","14,175","2,291","5,573","9,470","11,038","9,880","12,174"
Northern Sydney,Sgl Trip LR Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,990","3,664","2,777","1,904",17,53,151,215,62,100
Northern Sydney,Sgl Trip LR Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,"1,260",263,148,2,19,104,211,45,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Sydney,Adult,"29,645","28,173","27,971","26,999","24,170","29,258","23,215","30,751","37,383","34,511","33,815","37,087","33,437","31,065","29,999","35,194","36,433","38,514","11,920","31,867","35,384","34,564","37,238","36,948","33,934","35,807","35,705","35,109","36,598","36,717","36,174","33,272","36,672","32,605","31,943","36,182","34,730","34,571","28,901","31,784","30,443","31,428","31,387","26,510","17,482","2,950","4,684","7,376","8,872","7,333","7,612"
Northern Sydney,Child/Youth,"3,382","1,822","2,300","2,339","1,521","2,864","3,936","1,988","2,125","4,193","1,737","3,464","3,853","1,835","2,622","2,780","2,584","3,862","1,988","2,278","2,388","3,872","2,155","3,574","4,532","2,602","2,863","3,166","2,803","4,074","5,151","2,477","2,554","3,977","2,207","4,070","4,468","2,428","1,957","3,442","2,988","3,859","5,989","1,777",937,45,115,525,"1,356",416,713
Northern Sydney,Concession,"1,377","1,302","1,230","1,185","1,238","1,139",888,"1,471","2,134","1,623","1,581","1,760","1,724","1,636","1,428","1,580","1,648","1,370",511,"1,409","1,752","1,554","1,567","1,595","1,494","1,614","1,673","1,392","1,429","1,237","1,211","1,449","2,044","1,369","1,299","1,776","1,764","1,704","1,358","1,375","1,276","1,257","1,070","1,377",889,73,192,464,637,535,582
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,238,369,471,473,544,601,622,596,726,"1,228","1,686","1,377","1,693","1,684","1,654","1,907","1,773","2,298","2,204","4,163","4,874","5,293","5,573","5,784","3,728",478,"1,137","2,171","2,900","2,351","2,571"
Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,4,,
